media,record,scene,translation_rows,used_hangul,common_glyphs,common_glyph_count,new_glyphs,new_glyph_count,glyph_add_bytes,existing_local_slots,existing_dead_slots,newly_freed_slots,glyph_reclaim_bytes,donor_reclaim_bytes,string_reclaim_bytes,appended_glyph_count,appended_glyph_bytes,string_delta_bytes,string_increase_bytes,text_overflow_bytes,internal_slack_bytes,record_growth_bytes,final_headroom,overflow_bytes,row_ids,confidence,scene_pad_budget,scene_total_growth,scene_final_headroom,scene_overflow_bytes,gcx,pinned_record,string_region_bytes,layout_policy,records,translation_records
codec,,,1,떼로를먼애없저,로를없저,4,떼먼애,3,192,0,0,0,0,0,34,3,192,-34,0,,,,0,158,codec:1081:15,confirmed_binary_and_builder_logic,,,,,1081,no,2728,per_gcx_size_preserved; no record relocation,,
codec,,,1,게롭면못붙여움유으의이자직,게면못여유으의이자,9,롭붙움직,4,256,0,0,0,0,0,23,4,256,-23,0,,,,0,233,codec:1089:14,confirmed_binary_and_builder_logic,,,,,1089,no,3248,per_gcx_size_preserved; no record relocation,,
codec,,,1,로물서속에전진해,로물서에해,5,속전진,3,192,0,0,0,0,0,18,3,192,-18,0,,,,0,174,codec:1097:14,confirmed_binary_and_builder_logic,,,,,1097,no,3144,per_gcx_size_preserved; no record relocation,,
codec,,,1,가까내려빛선에이,가까내려에이,6,빛선,2,128,0,0,0,0,0,30,2,128,-30,0,,,,0,98,codec:1101:15,confirmed_binary_and_builder_logic,,,,,1101,no,2704,per_gcx_size_preserved; no record relocation,,
codec,,,3,글는댄론물스식쎄요의이저죠,는물스요의이저,7,글댄론식쎄죠,6,384,0,0,0,0,0,1,6,384,-1,5,,,,0,383,codec:1107:27|codec:1107:30|codec:1107:25,confirmed_binary_and_builder_logic,,,,,1107,no,4696,per_gcx_size_preserved; no record relocation,,
codec,,,1,가군는통하,가군는하,4,통,1,64,0,0,0,0,0,20,1,64,-20,0,,,,0,44,codec:1118:24,confirmed_binary_and_builder_logic,,,,,1118,no,3216,per_gcx_size_preserved; no record relocation,,
codec,,,2,게굴도마보심얼에을이조지해,게도마보심에을이조지해,11,굴얼,2,128,0,0,0,0,0,44,2,128,-44,0,,,,0,84,codec:1121:14|codec:1121:16,confirmed_binary_and_builder_logic,,,,,1121,no,3380,per_gcx_size_preserved; no record relocation,,
codec,,,1,로사서에을주해,로사서에을해,6,주,1,64,0,0,0,0,0,43,1,64,-43,0,,,,0,21,codec:1130:12,confirmed_binary_and_builder_logic,,,,,1130,no,2268,per_gcx_size_preserved; no record relocation,,
codec,,,1,가고기노딘를리숨숲어에있회,가고기를리숲어에있,9,노딘숨회,4,256,0,0,0,0,0,31,4,256,-31,0,,,,0,225,codec:1146:15,confirmed_binary_and_builder_logic,,,,,1146,no,3196,per_gcx_size_preserved; no record relocation,,
codec,,,1,늘마맞면몸바박에으의이취탄혀,마면바에으의이,7,늘맞몸박취탄혀,7,448,0,0,0,0,0,65,7,448,-65,0,,,,0,383,codec:1150:10,confirmed_binary_and_builder_logic,,,,,1150,no,2776,per_gcx_size_preserved; no record relocation,,
codec,,,1,는위이정줘지치해형,는위이정지해,6,줘치형,3,192,0,0,0,0,0,41,3,192,-41,0,,,,0,151,codec:1153:14,confirmed_binary_and_builder_logic,,,,,1153,no,3196,per_gcx_size_preserved; no record relocation,,
codec,,,1,도봐써,도봐,2,써,1,64,0,0,0,0,0,28,1,64,-28,0,,,,0,36,codec:1161:16,confirmed_binary_and_builder_logic,,,,,1161,no,2616,per_gcx_size_preserved; no record relocation,,
codec,,,1,높산아은이주,아은이,3,높산주,3,192,0,0,0,0,0,17,3,192,-17,0,,,,0,175,codec:1164:30,confirmed_binary_and_builder_logic,,,,,1164,no,3268,per_gcx_size_preserved; no record relocation,,
