media,record,scene,translation_rows,used_hangul,common_glyphs,common_glyph_count,new_glyphs,new_glyph_count,glyph_add_bytes,existing_local_slots,existing_dead_slots,newly_freed_slots,glyph_reclaim_bytes,donor_reclaim_bytes,string_reclaim_bytes,appended_glyph_count,appended_glyph_bytes,string_delta_bytes,string_increase_bytes,text_overflow_bytes,internal_slack_bytes,record_growth_bytes,final_headroom,overflow_bytes,row_ids,confidence,scene_pad_budget,scene_total_growth,scene_final_headroom,scene_overflow_bytes
demo,154,63,5,각건괴기난는데돼득뜻를면무문산생설슨시아야양어에와이있전제직체파하회,건기난는데뜻를면무문설슨시아야어에와이있제하,22,각괴돼득산생양전직체파회,12,768,0,0,0,0,0,79,12,768,-79,0,0,0,768,0,0,demo:63:282261892|demo:63:282262340|demo:63:282262568|demo:63:282262936|demo:63:282263288,confirmed_binary_and_builder_logic,1478,768,710,0
demo,155,63,1,겠알어,겠알어,3,,0,0,0,0,0,0,0,3,0,0,-3,0,0,0,0,0,0,demo:63:282841680,confirmed_binary_and_builder_logic,1478,768,710,0
demo,156,63,1,음,음,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,demo:63:283583048,confirmed_binary_and_builder_logic,1478,768,710,0
demo,157,63,1,,,0,,0,0,0,0,0,0,0,4,0,0,-4,0,0,0,0,0,0,demo:63:284356800,confirmed_binary_and_builder_logic,1478,768,710,0
demo,158,63,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1478,768,710,0
demo,159,63,1,령소,령소,2,,0,0,0,0,0,0,0,2,0,0,-2,0,0,0,0,0,0,demo:63:286404224,confirmed_binary_and_builder_logic,1478,768,710,0
demo,160,63,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1478,768,710,0
demo,161,63,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1478,768,710,0
demo,162,63,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1478,768,710,0
demo,163,64,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,677,0,677,0
demo,164,64,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,677,0,677,0
demo,165,64,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,677,0,677,0
demo,166,65,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1462,0,1462,0
demo,167,66,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,757,0,757,0
demo,168,66,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,757,0,757,0
demo,169,66,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,757,0,757,0
demo,170,66,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,757,0,757,0
demo,171,66,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,757,0,757,0
demo,172,66,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,757,0,757,0
demo,173,66,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,757,0,757,0
demo,174,66,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,757,0,757,0
demo,175,66,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,757,0,757,0
demo,176,66,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,757,0,757,0
demo,177,66,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,757,0,757,0
demo,178,67,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1270,0,1270,0
demo,179,67,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1270,0,1270,0
demo,180,67,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1270,0,1270,0
demo,181,67,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1270,0,1270,0
demo,182,67,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1270,0,1270,0
demo,183,68,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1910,0,1910,0
demo,184,68,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1910,0,1910,0
demo,185,68,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1910,0,1910,0
demo,186,68,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1910,0,1910,0
demo,187,69,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1094,0,1094,0
demo,188,70,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,838,0,838,0
demo,189,70,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,838,0,838,0
demo,190,71,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,790,0,790,0
demo,191,71,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,790,0,790,0
demo,192,72,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1430,0,1430,0
demo,193,73,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1686,0,1686,0
demo,194,74,4,가기깐딱뭔아어여와있잠주해,가기아어여와있해,8,깐딱뭔잠주,5,320,0,0,0,0,0,27,5,320,-27,0,0,0,320,0,0,demo:74:381612500|demo:74:381612680|demo:74:381612892|demo:74:381613080,confirmed_binary_and_builder_logic,1654,384,1270,0
demo,195,74,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1654,384,1270,0
demo,196,74,2,가감게떻알았어여의인자줄,가게떻알았어여의인자줄,11,감,1,64,0,0,0,0,0,57,1,64,-57,0,0,0,64,0,0,demo:74:385694764|demo:74:385695052,confirmed_binary_and_builder_logic,1654,384,1270,0
demo,197,75,4,날들럼려만면방서수약어와을이있점처토폭하,날들려만면방서수어와을이있점하,15,럼약처토폭,5,320,0,0,0,0,0,98,5,320,-98,0,0,0,320,0,0,demo:75:386798880|demo:75:386799252|demo:75:386799588|demo:75:386799784,confirmed_binary_and_builder_logic,694,320,374,0
demo,198,75,1,말봐해,말봐해,3,,0,0,0,0,0,0,0,9,0,0,-9,0,0,0,0,0,0,demo:75:387676288,confirmed_binary_and_builder_logic,694,320,374,0
demo,199,76,1,거그는되럼를면야크탱파폭하,거그는되를면야크하,9,럼탱파폭,4,256,0,0,0,0,0,0,4,256,1,1,0,0,256,0,0,demo:76:388569436,confirmed_binary_and_builder_logic,710,768,0,58
demo,200,76,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,710,768,0,58
demo,201,76,1,경그돼렇배병비아않어이있직진치,그렇아않어이있,7,경돼배병비직진치,8,512,0,0,0,0,0,10,8,512,-10,0,0,0,512,0,0,demo:76:389314756,confirmed_binary_and_builder_logic,710,768,0,58
demo,202,76,1,것겠군도요좋,것겠군도요좋,6,,0,0,0,0,0,0,0,6,0,0,-6,0,0,0,0,0,0,demo:76:389764956,confirmed_binary_and_builder_logic,710,768,0,58
demo,203,77,4,가거그기끝널는도돕래로모쓸억없엔지해,가거그기는도래로없엔지해,12,끝널돕모쓸억,6,384,0,0,0,0,0,87,6,384,-87,0,0,0,384,0,0,demo:77:389999648|demo:77:390000000|demo:77:390000348|demo:77:390000512,confirmed_binary_and_builder_logic,1462,512,950,0
demo,204,77,1,남서쪽,서,1,남쪽,2,128,0,0,0,0,0,38,2,128,-38,0,0,0,128,0,0,demo:77:390804100,confirmed_binary_and_builder_logic,1462,512,950,0
demo,205,78,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,102,0,102,0
demo,206,79,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,2006,256,1750,0
demo,207,79,2,그는다래로론를리메물어요이칼트하,그는다래로를리물어요이하,12,론메칼트,4,256,0,0,0,0,0,24,4,256,-24,0,0,0,256,0,0,demo:79:391880732|demo:79:391881060,confirmed_binary_and_builder_logic,2006,256,1750,0
demo,208,79,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,2006,256,1750,0
demo,209,79,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,2006,256,1750,0
demo,210,79,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,2006,256,1750,0
demo,211,79,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,2006,256,1750,0
demo,212,81,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,438,0,438,0
demo,213,82,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1942,0,1942,0
demo,214,82,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1942,0,1942,0
demo,215,82,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1942,0,1942,0
demo,216,82,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1942,0,1942,0
demo,217,83,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1013,0,1013,0
demo,218,83,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1013,0,1013,0
