term,occurrences,unique_rows,category,existing_reference
attached,359,4,OTHER,
then,358,5,TUTORIAL_CONTROL,
fps,358,5,ITEM_WEAPON,
character,358,4,ITEM_WEAPON,
view,358,4,ITEM_WEAPON,
feed,357,3,OTHER,
crocodile,357,5,FLORA_FAUNA,
antidote,356,4,MEDICINE,
burns,356,4,TUTORIAL_CONTROL,
digestive,356,4,MEDICINE,
soviet-made,356,4,ITEM_WEAPON,
inside,356,4,FLORA_FAUNA,
provides,356,4,ITEM_WEAPON,
into,356,4,FOOD,
radio,356,3,OTHER,
especially,356,4,OTHER,
wearer,356,4,ITEM_WEAPON,
underwater,356,3,OTHER,
photo-camo,356,4,ITEM_WEAPON,
ammunition,356,4,ITEM_WEAPON,
pain's,356,4,FLORA_FAUNA,
picking,356,4,MEDICINE,
throughout,356,4,MEDICINE,
invented,356,4,FOOD,
never,356,4,FLORA_FAUNA,
carp,356,4,FLORA_FAUNA,
issued,356,4,FOOD,
it's,356,4,FOOD,
tropical,356,4,FLORA_FAUNA,
controlled,356,4,FLORA_FAUNA,
filled,356,4,FLORA_FAUNA,
waters,356,4,FLORA_FAUNA,
regions,356,4,FLORA_FAUNA,
primarily,356,4,FLORA_FAUNA,
aggressive,356,4,FLORA_FAUNA,
prey,356,4,FLORA_FAUNA,
snakes,356,4,FLORA_FAUNA,
americas,356,4,FLORA_FAUNA,
extremely,356,4,FLORA_FAUNA,
because,356,4,FLORA_FAUNA,
asked,356,4,FLORA_FAUNA,
flavor,356,4,FLORA_FAUNA,
answered,356,4,FLORA_FAUNA,
tastes,356,4,FLORA_FAUNA,
goat,356,4,FLORA_FAUNA,
wild,356,4,FLORA_FAUNA,
lives,356,4,FLORA_FAUNA,
mountainous,356,4,FLORA_FAUNA,
resembles,356,4,FLORA_FAUNA,
familiar,356,4,FLORA_FAUNA,
indochina,356,4,FLORA_FAUNA,
seems,356,3,FLORA_FAUNA,
vicinity,356,4,FLORA_FAUNA,
possibly,356,4,FLORA_FAUNA,
bee,356,4,OTHER,
speed,356,3,OTHER,
ache,356,4,OTHER,
pressed,352,89,TUTORIAL_CONTROL,
lazorevo,294,3,AREA_NAME,
cancel,294,3,OTHER,
rail,286,3,AREA_NAME,
bridge,286,3,AREA_NAME,
loaded,285,3,OTHER,
completed,285,6,FLORA_FAUNA,
successful,285,3,OTHER,
enemy,282,6,TUTORIAL_CONTROL,
while,282,10,ITEM_WEAPON,
power,281,10,ITEM_WEAPON,
your,274,4,OTHER,
full,273,6,TUTORIAL_CONTROL,
attach/detach,273,6,TUTORIAL_CONTROL,
could,273,5,FLORA_FAUNA,
taken,272,4,MEDICINE,
previous,272,3,OTHER,
light,271,5,ITEM_WEAPON,
bars,271,3,MEDICINE,
hard,271,3,OTHER,
exit,270,3,TUTORIAL_CONTROL,
viewer,270,3,TUTORIAL_CONTROL,
metal,270,3,OTHER,
amount,270,3,OTHER,
default,269,3,TUTORIAL_CONTROL,
capturing,269,4,TUTORIAL_CONTROL,
around,269,4,TUTORIAL_CONTROL,
object,269,6,TUTORIAL_CONTROL,
apply,269,5,TUTORIAL_CONTROL,
equipment,269,3,TUTORIAL_CONTROL,
gauge,269,4,ITEM_WEAPON,
created,269,4,ITEM_WEAPON,
upon,269,4,ITEM_WEAPON,
sniper,269,3,ITEM_WEAPON,
now,269,3,MEDICINE,
removing,268,6,TUTORIAL_CONTROL,
union,268,4,ITEM_WEAPON,
skin,268,4,FLORA_FAUNA,
battle,268,4,ITEM_WEAPON,
transmitter,268,4,OTHER,
them,267,3,TUTORIAL_CONTROL,
swallow,267,3,TUTORIAL_CONTROL,
aches,267,3,MEDICINE,
venom,267,3,FLORA_FAUNA,
effect,267,3,ITEM_WEAPON,
detonation,267,3,ITEM_WEAPON,
australia,267,3,FLORA_FAUNA,
even,267,3,FLORA_FAUNA,
human,267,3,FLORA_FAUNA,
prevents,267,3,ITEM_WEAPON,
shot,267,3,ITEM_WEAPON,
american-made,267,3,ITEM_WEAPON,
front,267,3,FLORA_FAUNA,
named,267,3,FLORA_FAUNA,
often,267,3,FLORA_FAUNA,
female,267,3,ITEM_WEAPON,
applied,267,3,ITEM_WEAPON,
worn,267,3,ITEM_WEAPON,
weight,267,3,FLORA_FAUNA,
state-of-the-art,267,3,ITEM_WEAPON,
currently,267,3,FLORA_FAUNA,
place,267,3,ITEM_WEAPON,
properties,267,3,MEDICINE,
cured,267,3,MEDICINE,
rotten,267,3,OTHER,
just,267,3,FLORA_FAUNA,
normally,267,3,FLORA_FAUNA,
apparently,267,3,FLORA_FAUNA,
other,267,3,FLORA_FAUNA,
half-bad,267,3,FLORA_FAUNA,
recharged,267,3,FLORA_FAUNA,
environment,267,3,OTHER,
glance,267,3,FLORA_FAUNA,
pinch,267,3,FLORA_FAUNA,
bone,267,3,INJURY,
healed,267,3,OTHER,
rika,267,3,OTHER,
muranaka,267,3,OTHER,
chunk,267,3,OTHER,
raspberry,267,3,OTHER,
throw,265,89,TUTORIAL_CONTROL,
death,253,10,OTHER,
book,243,3,OTHER,
live,242,34,TUTORIAL_CONTROL,
see,232,3,ITEM_WEAPON,
extra,202,13,OTHER,
over,191,4,TUTORIAL_CONTROL,
virtuous,191,4,OTHER,
mountaintop,189,3,AREA_NAME,
photos,184,4,OTHER,
duel,184,3,OTHER,
demo,184,4,OTHER,
made,182,4,TUTORIAL_CONTROL,
explosive,182,4,TUTORIAL_CONTROL,
assault,182,4,TUTORIAL_CONTROL,
stab,182,3,TUTORIAL_CONTROL,
plants,182,3,TUTORIAL_CONTROL,
taiwan,182,4,TUTORIAL_CONTROL,
sound,182,4,ITEM_WEAPON,
slider,182,4,ITEM_WEAPON,
magnification,182,4,ITEM_WEAPON,
has,182,4,OTHER,
here,181,3,OTHER,
military-grade,180,3,TUTORIAL_CONTROL,
detonate,180,3,TUTORIAL_CONTROL,
survival,180,5,TUTORIAL_CONTROL,
plastic,180,3,TUTORIAL_CONTROL,
balanced,180,3,TUTORIAL_CONTROL,
directional,180,3,TUTORIAL_CONTROL,
pick,180,3,TUTORIAL_CONTROL,
cqc,180,3,TUTORIAL_CONTROL,
american,180,3,ITEM_WEAPON,
caliber,180,3,ITEM_WEAPON,
combat,180,3,TUTORIAL_CONTROL,
does,180,3,ITEM_WEAPON,
take,180,3,MEDICINE,
using,180,3,MEDICINE,
settings,180,3,OTHER,
hind,179,3,FLORA_FAUNA,
tiger,179,3,OTHER,
bullets,178,4,TUTORIAL_CONTROL,
arrows,178,4,TUTORIAL_CONTROL,
distance,174,87,TUTORIAL_CONTROL,
varies,174,87,TUTORIAL_CONTROL,
meat,153,33,TUTORIAL_CONTROL,
obtained,122,31,TITLE_AWARD,
title,118,28,TITLE_AWARD,
