src,dst,kind,status,error
analysis/global_korean_glyph_poc_2026-08-12/korean_page.bin,experiments/global_korean_glyph_poc_2026-08-12/korean_page.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/korean_token_map.csv,experiments/global_korean_glyph_poc_2026-08-12/korean_token_map.csv,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/movie.poc.dat,experiments/global_korean_glyph_poc_2026-08-12/movie.poc.dat,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/patch_manifest.json,experiments/global_korean_glyph_poc_2026-08-12/patch_manifest.json,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/poc_trampolines.bin,experiments/global_korean_glyph_poc_2026-08-12/poc_trampolines.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/poc_trampolines.elf,experiments/global_korean_glyph_poc_2026-08-12/poc_trampolines.elf,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/poc_trampolines.o,experiments/global_korean_glyph_poc_2026-08-12/poc_trampolines.o,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/poc_trampolines.s,experiments/global_korean_glyph_poc_2026-08-12/poc_trampolines.s,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/test_results.json,experiments/global_korean_glyph_poc_2026-08-12/test_results.json,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/cci_build/exefs.bin,experiments/global_korean_glyph_poc_2026-08-12/cci_build/exefs.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/cci_build/exefsheader.bin,experiments/global_korean_glyph_poc_2026-08-12/cci_build/exefsheader.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/cci_build/exefs_poc.bin,experiments/global_korean_glyph_poc_2026-08-12/cci_build/exefs_poc.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/cci_build/ncchheader.bin,experiments/global_korean_glyph_poc_2026-08-12/cci_build/ncchheader.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/cci_build/ncsdheader.bin,experiments/global_korean_glyph_poc_2026-08-12/cci_build/ncsdheader.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/cci_build/original_exefs.bin,experiments/global_korean_glyph_poc_2026-08-12/cci_build/original_exefs.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/cci_build/original_exheader.bin,experiments/global_korean_glyph_poc_2026-08-12/cci_build/original_exheader.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/cci_build/original_romfs.bin,experiments/global_korean_glyph_poc_2026-08-12/cci_build/original_romfs.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/cci_build/partition1.cfa,experiments/global_korean_glyph_poc_2026-08-12/cci_build/partition1.cfa,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/cci_build/partition7.cfa,experiments/global_korean_glyph_poc_2026-08-12/cci_build/partition7.cfa,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/cci_build/plain.bin,experiments/global_korean_glyph_poc_2026-08-12/cci_build/plain.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/cci_build/romfs_poc.bin,experiments/global_korean_glyph_poc_2026-08-12/cci_build/romfs_poc.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/cci_build/original_exefs/.code.bin,experiments/global_korean_glyph_poc_2026-08-12/cci_build/original_exefs/.code.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/cci_build/original_exefs/banner.bnr,experiments/global_korean_glyph_poc_2026-08-12/cci_build/original_exefs/banner.bnr,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/cci_build/original_exefs/icon.icn,experiments/global_korean_glyph_poc_2026-08-12/cci_build/original_exefs/icon.icn,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/cci_build/original_exefs/logo.darc.lz,experiments/global_korean_glyph_poc_2026-08-12/cci_build/original_exefs/logo.darc.lz,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/content.bin,experiments/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/content.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/exheader.bin,experiments/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/exheader.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/header.bin,experiments/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/header.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/plain.bin,experiments/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/plain.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/exefs/banner.bin,experiments/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/exefs/banner.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/exefs/code.bin,experiments/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/exefs/code.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/exefs/icon.bin,experiments/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/exefs/icon.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/exefs/logo.bin,experiments/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/exefs/logo.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/romfs/codec.dat,experiments/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/romfs/codec.dat,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/romfs/demo.dat,experiments/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/romfs/demo.dat,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/romfs/demo.dat.bak-before-autofit106-2026-08-07,experiments/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/romfs/demo.dat.bak-before-autofit106-2026-08-07,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/romfs/Manual.cfa,experiments/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/romfs/Manual.cfa,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/romfs/MGS3D.icn,experiments/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/romfs/MGS3D.icn,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/romfs/MGS3D_Release.rsf,experiments/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/romfs/MGS3D_Release.rsf,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/romfs/movie.dat,experiments/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/romfs/movie.dat,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/romfs/movie.dat.bak-before-record0-2-3-5-12-28-29-2026-08-07,experiments/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/romfs/movie.dat.bak-before-record0-2-3-5-12-28-29-2026-08-07,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/romfs/slot.dat,experiments/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/romfs/slot.dat,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/romfs/vox.dat,experiments/global_korean_glyph_poc_2026-08-12/romforge_isolated_full/partition0/romfs/vox.dat,FILE,OK,
